This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┃          28  ┃      0.0034  │     84.98 %  ┃      0.0041 │     83.02 %┃
┃          28  ┃      0.0034  │     84.98 %  ┃      0.0035 │     84.95 %┃
┃          29  ┃      0.0045  │     80.74 %  ┃      0.0035 │     84.95 %┃
┃          29  ┃      0.0045  │     80.74 %  ┃      0.0045 │     80.75 %┃
┃          30  ┃      0.0019  │     91.48 %  ┃      0.0045 │     80.75 %┃
┃          30  ┃      0.0019  │     91.48 %  ┃      0.0019 │     91.64 %┃
┃          31  ┃      0.0019  │     91.98 %  ┃      0.0019 │     91.64 %┃
┃          31  ┃      0.0019  │     91.98 %  ┃      0.0019 │     91.78 %┃
┃          32  ┃      0.0018  │     92.04 %  ┃      0.0019 │     91.78 %┃
┃          32  ┃      0.0018  │     92.04 %  ┃      0.0019 │     91.70 %┃
┃          33  ┃      0.0018  │     92.24 %  ┃      0.0019 │     91.70 %┃
┃          33  ┃      0.0018  │     92.24 %  ┃      0.0018 │     92.47 %┃
┃          34  ┃      0.0017  │     92.76 %  ┃      0.0018 │     92.47 %┃
┃          34  ┃      0.0017  │     92.76 %  ┃      0.0018 │     92.11 %┃
┃          35  ┃      0.0018  │     92.38 %  ┃      0.0018 │     92.11 %┃
┃          35  ┃      0.0018  │     92.38 %  ┃      0.0018 │     92.11 %┃
┃          36  ┃      0.0018  │     91.94 %  ┃      0.0018 │     92.11 %┃
┃          36  ┃      0.0018  │     91.94 %  ┃      0.0019 │     92.06 %┃
┃          37  ┃      0.0019  │     91.10 %  ┃      0.0019 │     92.06 %┃
┃          37  ┃      0.0019  │     91.10 %  ┃      0.0020 │     91.34 %┃
┃          38  ┃      0.0018  │     92.34 %  ┃      0.0020 │     91.34 %┃
┃          38  ┃      0.0018  │     92.34 %  ┃      0.0019 │     92.17 %┃
┃          39  ┃      0.0019  │     91.34 %  ┃      0.0019 │     92.17 %┃
┃          39  ┃      0.0019  │     91.34 %  ┃      0.0020 │     91.75 %┃
